distance_km,prep_time,active_orders,available_riders,traffic,weather,demand,time_hour,expected_eta,actual_delivery_time,delay_minutes,delayed
9.4,15,2,1,Medium,Clear,Medium,16,59.6,71.2,11.6,0
5.55,11,15,8,Low,Storm,Low,15,40.2,49.51,9.31,1
10.37,21,17,3,Low,Clear,Low,17,69.48,74.89,5.41,0
8.52,25,21,8,High,Clear,Medium,8,66.08,81.94,15.86,1
1.58,13,17,7,Medium,Clear,Medium,17,26.32,37.32,11.0,1
11.72,28,5,3,Low,Clear,Medium,14,81.88,90.96,9.08,0
9.25,24,11,6,Medium,Clear,Medium,8,68.0,75.19,7.19,0
9.54,10,13,1,Medium,Clear,High,20,55.16,75.18,20.02,1
1.97,34,29,8,High,Rain,Medium,10,48.88,72.85,23.97,1
5.68,6,15,4,Medium,Clear,Medium,16,35.72,51.13,15.41,1
4.76,25,19,5,Low,Rain,Medium,20,51.04,63.35,12.31,1
11.16,18,22,2,Low,Clear,High,21,69.64,83.75,14.11,1
7.9,25,10,5,Low,Clear,Medium,17,63.6,70.98,7.38,0
9.96,28,28,5,Medium,Clear,Medium,18,74.84,91.15,16.31,1
5.6,26,20,3,Medium,Clear,Medium,16,55.4,67.01,11.61,1
3.11,25,25,11,Medium,Clear,Low,19,44.44,55.61,11.17,1
6.88,31,22,4,Medium,Clear,Medium,22,65.52,79.37,13.85,1
1.23,26,18,2,Low,Clear,Medium,14,37.92,49.87,11.95,1
10.02,30,0,7,Low,Clear,Low,14,77.08,77.29,0.21,0
7.76,17,17,4,Low,Rain,Medium,10,55.04,67.33,12.29,1
9.22,11,3,5,Low,Clear,Low,22,54.88,57.8,2.92,0
4.58,12,18,8,Medium,Clear,High,21,37.32,54.13,16.81,1
11.66,23,21,1,High,Clear,Medium,18,76.64,98.83,22.19,1
10.77,21,16,6,Low,Clear,Low,17,71.08,72.98,1.9,0
9.45,7,9,1,Medium,Rain,Medium,11,51.8,71.79,19.99,1
2.74,11,1,1,Low,Clear,Medium,21,28.96,43.3,14.34,1
5.87,34,20,2,Medium,Rain,Medium,8,64.48,79.03,14.55,1
1.0,27,20,2,Low,Rain,Medium,17,38.0,52.78,14.78,1
2.27,28,14,4,Medium,Clear,Low,11,44.08,49.82,5.74,0
8.36,11,21,11,Low,Clear,Low,14,51.44,52.9,1.46,0
9.06,6,23,10,Low,Clear,Medium,9,49.24,58.81,9.57,0
11.63,14,15,2,Medium,Rain,Medium,10,67.52,85.46,17.94,1
4.25,31,1,11,Low,Clear,Medium,13,55.0,53.53,-1.47,0
4.76,20,26,7,Medium,Clear,Low,13,46.04,54.92,8.88,0
5.9,29,14,7,Low,Clear,High,21,59.6,73.47,13.87,1
2.68,20,20,9,High,Rain,Medium,16,37.72,54.11,16.39,1
1.99,20,27,6,Low,Clear,Medium,8,34.96,44.43,9.47,1
5.97,23,10,3,Medium,Clear,Low,21,53.88,67.02,13.14,1
3.11,34,18,6,High,Clear,Medium,17,53.44,69.94,16.5,1
8.2,18,0,8,Medium,Rain,High,20,57.8,75.66,17.86,1
5.53,23,26,8,Low,Rain,Low,21,52.12,59.0,6.88,0
10.08,33,1,2,Medium,Clear,Medium,15,80.32,96.41,16.09,1
8.55,16,16,11,Low,Clear,Medium,10,57.2,65.82,8.62,0
4.09,31,10,4,Medium,Clear,Low,14,54.36,62.29,7.93,0
10.07,21,1,10,Low,Clear,Low,18,68.28,65.51,-2.77,0
9.75,32,13,4,Medium,Clear,Medium,8,78.0,87.6,9.6,0
4.96,19,28,1,Medium,Clear,Low,22,45.84,58.75,12.91,1
3.82,24,5,11,Low,Rain,Low,13,46.28,51.47,5.19,0
8.35,15,8,7,Low,Clear,High,17,55.4,64.95,9.55,0
2.11,24,5,3,Low,Clear,Medium,22,39.44,47.6,8.16,1
2.8,15,3,1,Medium,Clear,Medium,20,33.2,48.55,15.35,1
0.58,23,6,2,Low,Clear,Medium,19,32.32,45.24,12.92,1
9.55,29,17,2,Medium,Clear,Medium,12,74.2,91.2,17.0,1
8.15,18,23,11,Medium,Clear,Medium,15,57.6,68.09,10.49,0
8.61,18,20,2,High,Clear,Low,15,59.44,79.73,20.29,1
9.48,14,23,2,Low,Clear,Medium,20,58.92,76.62,17.7,1
5.78,27,21,10,Low,Rain,Medium,8,57.12,68.56,11.44,1
7.04,23,11,10,Low,Rain,High,8,58.16,69.58,11.42,0
2.11,21,27,3,Medium,Clear,Medium,9,36.44,52.75,16.31,1
1.82,5,5,8,Low,Clear,High,22,19.28,28.21,8.93,1
8.19,8,20,6,Low,Clear,Medium,16,47.76,53.92,6.16,0
5.92,5,3,7,Low,Rain,Medium,18,35.68,41.26,5.58,0
7.0,31,22,4,Medium,Rain,Medium,9,66.0,82.38,16.38,1
